STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/1/2013,6.93,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,40,",,X",26,",,X",,,310,",,X",300,",,X",15,",,X",25.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/2/2013,5.82,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,33,",,X",22,",,X",,,310,",,X",340,",,X",15,",,X",21.9,",,X",,,,,,,,,,,1,",,X",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/3/2013,4.47,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,32,",,X",24,",,X",,,260,",,X",260,",,X",13,",,X",19.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/4/2013,8.05,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,37,",,X",30,",,X",,,290,",,X",250,",,X",17.9,",,X",28,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/5/2013,6.71,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,42,",,X",32,",,X",,,310,",,X",310,",,X",17,",,X",25.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/6/2013,6.71,",,X",,,0,"T,,X,2400",0,"T,,X,",0,",,X,",,,46,",,X",34,",,X",,,290,",,X",270,",,X",13,",,X",19.9,",,X",,,,,,,,,,,1,",,X",1,",,X",,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/7/2013,5.37,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,45,",,X",37,",,X",,,310,",,X",310,",,X",16.1,",,X",25.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/8/2013,6.49,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,48,",,X",35,",,X",,,250,",,X",260,",,X",17,",,X",25.1,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/9/2013,4.03,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,49,",,X",39,",,X",,,270,",,X",250,",,X",14.1,",,X",21.9,",,X",,,,,,,,,,,1,",,X",,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/10/2013,6.71,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,47,",,X",40,",,X",,,310,",,X",290,",,X",15,",,X",21.9,",,X",,,,,,,,,,,,,,,,,,,,,,,,
